,Accessories,Piercings,Glasses,Headwear,Ring,Footwear,Bottom,Top,Facial Hair,Hair Color,Hair Style,Background
95830,Lunchbox,,,,,Brown Leather Shoes with Laces,Blue Denim,Olive Oxford with Tie,,Light Brown,Short Messy,White
95831,Black Smartphone,,Black Books,,,Black Suede Chelseas with Brown Sole,Charcoal Slacks,Navy Oxford with Pocket,Beard,Dark Brown,Updo Bun,White
95832,,,,Tan Worker's Cap,,Black Leather Shoes with Laces,Navy Slacks,Gray Blazer with Black Shirt and No Tie,,Blonde,Buzz Cut,White
95833,Blue Lunchbox,,,,,Brown Leather Shoes with Laces,Dark-Wash Denim,Light Gray Cardigan with Tan Oxford Shirt,Beard,Black,Short Pixie,White
95834,,,,,,White Canvas Sneaker with White Sole,Charcoal Slacks,Gray Blazer with Black Shirt and Gray Tie,,Black,Short Afro Fade,White
95835,,,Black Books,,,Redbrown Leather Workboot with Brown Sole,Navy Slacks,Tan Blazer with Off-White Shirt and No Tie,,Dark Brown,Buzz Cut,White
95836,,Stud Earring,,,,Black Leather Shoes with Laces,Blue Denim,Olive Oxford with Tie,,Black,Long Afro,White
95837,Black Smartphone,,Black Books,,,Brown Leather Shoes with Laces,Charcoal Slacks,Dark Gray Cardigan with Light Gray Longsleeve Shirt,,Dark Brown,Straight Sideswept Fringe,White
95838,Black Smartphone,,,,,Tan Suede Workboot with Tan Sole,Dark-Wash Denim,Navy Blazer with Striped Shirt and No Tie,Goatee,Auburn,Short Messy,White
95839,Lunchbox,,Silver Aviators,,,Black Suede Chelseas with Brown Sole,Charcoal Slacks,Navy Blazer with Striped Shirt and No Tie,Beard,Blonde,Buzz Cut,White
95840,,,,,Two Rings,Black Leather Shoes with Laces,Navy Slacks,Light Gray Cardigan with Beige Oxford Shirt,,Black,Short Messy,White
95841,Black Smartphone,,,Purple Worker's Cap,,Black Suede Chelseas with Brown Sole,Charcoal Slacks,Khaki Oxford with Pocket,,Light Brown,Buzz Cut,White
95842,,,,,Two Rings,Brown Leather Shoes with Laces,Charcoal Slacks,Olive Oxford with Buttons,,Light Grey,Short Coil,White
95843,Brown Leather Briefcase,,,,,White Canvas Sneaker with White Sole,Light-Wash Denim,Olive Oxford with Pocket,,Blonde,Low Ponytail,White
95844,,,Black Books,,Two Rings,Black Suede Chelseas with Brown Sole,Light-Wash Denim,Charcoal Blazer with Light Blue Shirt and No Tie,,Blonde,Long Messy,White
95845,Black Smartphone,,Silver Aviators,,,White Canvas Sneaker with White Sole,Dark-Wash Denim,Dark Gray Cardigan with Light Gray Oxford Shirt,,Auburn,Buzz Cut,White
95846,Black Smartphone,,,,,White Leather Sneaker with Grey Sole,,Denim Jumpsuit,,Black,Short Pixie,White
95847,Brown Leather Briefcase,,,,,Black Suede Chelseas with Brown Sole,Dark-Wash Denim,Tan Blazer with Off-White Shirt and Tan Tie,,Light Grey,Long Messy,White
95848,,,Black Books,,,Brown Leather Shoes with Laces,Charcoal Slacks,Olive Cardigan with Beige Longsleeve Shirt,,Light Brown,Short Coil,White
95849,,,Silver Aviators,,,White Canvas Sneaker with White Sole,Charcoal Slacks,Gray Oxford with Pocket,Beard,Light Brown,Short Afro Fade,White
95850,,,Rosegold Aviators,,,Black Leather Shoes with Laces,Charcoal Slacks,Navy Oxford with Pocket,,Dark Brown,Low Ponytail,White
95851,,,Black Books,,,Redbrown Leather Workboot with Brown Sole,Dark-Wash Denim,Brown Cardigan with Off-White Oxford and No Tie,Stubble,Blonde,Short Afro Fade,White
95852,Brown Leather Briefcase,,Rosegold Aviators,,,Black Leather Shoes with Laces,,Navy Jumpsuit,Stubble,Black,Long Messy,White
95853,,,Black Books,,,Brown Leather Shoes with Laces,Light-Wash Denim,Khaki Oxford with Pocket,,Light Brown,Short Afro Fade,White
95854,Brown Leather Briefcase,,,,Two Rings,Brown Leather Shoes with Laces,Light-Wash Denim,Navy Oxford with Tie,,Blonde,Low Ponytail,White
95855,Lunchbox,,,,Two Rings,Black Suede Chelseas with Brown Sole,Khaki Slacks,Olive Oxford with Tie and Pocket,Mustache,Light Brown,Short Afro Fade,White
95856,,,Black Books,,,White Leather Sneaker with Grey Sole,Charcoal Slacks,Olive Oxford with Pocket,,Auburn,Low Ponytail,White
95857,Lunchbox,,,,,Tan Suede Workboot with Tan Sole,Gray Slacks,Dark Gray Cardigan with Tan Longsleeve Shirt,Stubble,Blonde,,White
95858,Blue Lunchbox,,Silver Aviators,,,White Leather Sneaker with Grey Sole,Charcoal Slacks,Navy Blazer with Striped Shirt and No Tie,,Dark Brown,,White
95859,Light Blue Smartphone,,,,,Brown Leather Shoes with Laces,Light-Wash Denim,Light Gray Longsleeve,Stubble,Black,Updo Bun,White
95860,,,Rosegold Aviators,,,White Leather Sneaker with Grey Sole,Charcoal Slacks,Olive Oxford with Tie,,Black,Short Pixie,White
95861,,Stud Earring,,,,White Leather Sneaker with Grey Sole,,Navy Jumpsuit,,Light Brown,Short Pixie,White
95862,Blue Lunchbox,,,,,White Canvas Sneaker with White Sole,Charcoal Slacks,Light Gray Longsleeve,,Light Grey,Short Updo,White
95863,Black Leather Briefcase,,,,,White Canvas Sneaker with White Sole,Blue Denim,Khaki Oxford with Tie and Pocket,,Black,Short Coil,White
95864,,,,,,White Canvas Sneaker with White Sole,Khaki,Dark Gray Longsleeve,,Dark Brown,Updo Bun,White
95865,Black Leather Briefcase,,Rosegold Aviators,,,White Leather Sneaker with Grey Sole,Charcoal Slacks,Olive Oxford with Tie,,Black,Straight Sideswept Fringe,White
95866,,,,,Two Rings,Redbrown Leather Workboot with Brown Sole,Charcoal Slacks,Olive Oxford with Buttons,,Black,Long Messy,White
95867,Black Smartphone,,Silver Aviators,,,White Canvas Sneaker with White Sole,Navy Slacks,Olive Oxford with Pocket,Stubble,Light Brown,Short Afro Fade,White
95868,Brown Leather Briefcase,,Black Books,,,Black Suede Chelseas with Brown Sole,Khaki Slacks,Navy Blazer with Striped Shirt and Navy Tie,,Blonde,Short Messy,White
95869,Lunchbox,,,,,Brown Leather Shoes with Laces,Navy Slacks,Blue Longsleeve,,Dark Brown,Long Messy,White
95870,Black Smartphone,,,,,Tan Suede Workboot with Tan Sole,Charcoal Slacks,Light Gray Longsleeve,,Auburn,Medium Curly Bob,White
95871,,,,,,Brown Leather Shoes with Laces,Dark-Wash Denim,Navy Oxford with Tie,,Black,Buzz Cut,White
95872,Lunchbox,,Silver Aviators,,,White Canvas Sneaker with White Sole,Charcoal Slacks,Gray Blazer with Black Shirt and No Tie,Thin,Black,Updo Bun,White
95873,Lunchbox,Stud Earring,,Tan Worker's Cap,,Black Suede Chelseas with Brown Sole,Khaki Slacks,Dark Gray Longsleeve,,Dark Brown,,White
95874,Black Smartphone,,,,,Tan Suede Workboot with Tan Sole,Gray Slacks,Blue Longsleeve,,Dark Brown,Medium Curly Bob,White
95875,Black Smartphone,,Black Books,,,Tan Suede Workboot with Tan Sole,Gray Slacks,Dark Gray Cardigan with Tan Longsleeve Shirt,,Light Grey,Updo Bun,White
95876,Black Smartphone,,Black Books,,,Tan Suede Workboot with Tan Sole,Dark-Wash Denim,Khaki Oxford with Pocket,Stubble,Black,Buzz Cut,White
95877,,,,,,Brown Leather Shoes with Laces,Dark-Wash Denim,Blue Longsleeve,,Light Brown,Short Afro Fade,White
95878,,Stud Earring,Black Books,Tan Worker's Cap,,White Canvas Sneaker with White Sole,Charcoal Slacks,Khaki Oxford with Pocket,,Dark Brown,Buzz Cut,White
95879,,,,,,White Leather Sneaker with Grey Sole,Light-Wash Denim,Dark Gray Longsleeve,Mustache,Blonde,Long Messy,White
95880,,,,,Two Rings,Redbrown Leather Workboot with Brown Sole,Charcoal Slacks,Tan Blazer with Off-White Shirt and No Tie,,Light Brown,Short Afro Fade,White
95881,,Stud Earring,,,,Black Leather Shoes with Laces,Charcoal Slacks,Red Longsleeve,Beard,Light Brown,Low Ponytail,White
95882,Black Smartphone,,,Navy Blue Worker's Cap,,Brown Leather Shoes with Laces,Charcoal Slacks,Navy Blazer with Striped Shirt and No Tie,,Blonde,,White
95883,Black Smartphone,,,,,Brown Leather Shoes with Laces,Blue Denim,Khaki Oxford with Tie,Mustache,Light Grey,Short Pixie,White
95884,Black Smartphone,,Silver Aviators,,,Brown Leather Shoes with Laces,Navy Slacks,Navy Oxford with Buttons,,Dark Brown,Long Messy,White
95885,Black Smartphone,,,,,White Canvas Sneaker with White Sole,Dark-Wash Denim,Navy Oxford with Pocket,,Light Brown,Low Ponytail,White
95886,Brown Leather Briefcase,,,,,Redbrown Leather Workboot with Brown Sole,Khaki Slacks,Dark Gray Longsleeve,,Light Brown,Medium Curly Bob,White
95887,,,Black Books,,,Tan Suede Workboot with Tan Sole,,Khaki Jumpsuit,,Blonde,Long Messy,White
95888,Black Smartphone,,,,,Black Suede Chelseas with Brown Sole,Navy Slacks,Navy Blazer with Striped Shirt and Navy Tie,,Light Brown,Short Afro Fade,White
95889,Lunchbox,,,,,White Canvas Sneaker with White Sole,Gray Slacks,Gray Blazer with Black Shirt and No Tie,,Black,Short Updo,White
95890,Black Smartphone,,Black Books,,,Brown Leather Shoes with Laces,Gray Slacks,Gray Oxford with Pocket,,Light Brown,Short Afro Fade,White
95891,Brown Leather Briefcase,Stud Earring,,,,Tan Suede Workboot with Tan Sole,Dark-Wash Denim,Gray Blazer with Black Shirt and No Tie,Stubble,Auburn,Short Afro Fade,White
95892,,,,,,White Leather Sneaker with Grey Sole,Navy Slacks,Light Gray Longsleeve,,Black,Low Ponytail,White
95893,Brown Leather Briefcase,,,,,White Leather Sneaker with Grey Sole,Navy Slacks,Charcoal Blazer with Light Blue Shirt and No Tie,Stubble,Dark Brown,Straight Sideswept Fringe,White
95894,,,,,,Black Leather Shoes with Laces,Navy Slacks,Charcoal Blazer with Light Blue Shirt and No Tie,,Light Brown,Short Afro Fade,White
95895,Lunchbox,,Black Books,Tan Worker's Cap,Two Rings,Black Leather Shoes with Laces,Charcoal Slacks,Navy Oxford with Pocket,,Light Grey,Buzz Cut,White
95896,Black Smartphone,,,,,Tan Suede Workboot with Tan Sole,Gray Slacks,Charcoal Blazer with Light Blue Shirt and No Tie,Goatee,Light Brown,Straight Sideswept Fringe,White
95897,Black Smartphone,,,,,Brown Leather Shoes with Laces,,Navy Jumpsuit,,Light Brown,Updo Bun,White
95898,,,Black Books,,,Brown Leather Shoes with Laces,Khaki Slacks,Red Longsleeve,Thin,Light Grey,Medium Curly Bob,White
95899,Black Smartphone,Stud Earring,,,,White Canvas Sneaker with White Sole,Blue Denim,Khaki Oxford with Buttons,,Light Brown,Straight Sideswept Fringe,White
95900,Blue Lunchbox,,,,,Tan Suede Workboot with Tan Sole,Gray Slacks,Blue Longsleeve,,Black,Straight Sideswept Fringe,White
95901,,Stud Earring,Silver Aviators,,,White Leather Sneaker with Grey Sole,Charcoal Slacks,Light Gray Cardigan with Tan Oxford Shirt,,Light Brown,Low Ponytail,White
95902,,,,,,Tan Suede Workboot with Tan Sole,Light-Wash Denim,Red Longsleeve,Stubble,Dark Brown,Updo Bun,White
95903,,,,,,Tan Suede Workboot with Tan Sole,Navy Slacks,Light Gray Cardigan with Light Gray Longsleeve Shirt,,Black,Short Coil,White
95904,Lunchbox,,Black Books,,,White Canvas Sneaker with White Sole,Charcoal Slacks,Dark Gray Longsleeve,,Black,Updo Bun,White
95905,Black Smartphone,,Black Books,,,Tan Suede Workboot with Tan Sole,Khaki,Navy Oxford with Buttons,,Light Brown,Straight Sideswept Fringe,White
95906,,,Rosegold Aviators,,,Black Suede Chelseas with Brown Sole,Charcoal Slacks,Light Gray Cardigan with Light Gray Longsleeve Shirt,,Auburn,,White
95907,Lunchbox,,,,,Black Leather Shoes with Laces,Dark-Wash Denim,Tan Blazer with Off-White Shirt and No Tie,,Black,Short Messy,White
95908,Black Leather Briefcase,,,Navy Blue Worker's Cap,,White Canvas Sneaker with White Sole,Navy Slacks,Charcoal Blazer with Light Blue Shirt and Black Tie,Thin,Blonde,,White
95909,,Stud Earring,Rosegold Aviators,,,Tan Suede Workboot with Tan Sole,Charcoal Slacks,Dark Gray Longsleeve,,Blonde,Short Pixie,White
95910,Black Leather Briefcase,,,,,Brown Leather Shoes with Laces,Khaki Slacks,Olive Oxford with Tie,Stubble,Light Brown,Short Coil,White
95911,,,Black Books,,,Redbrown Leather Workboot with Brown Sole,Khaki,Dark Gray Cardigan with Tan Longsleeve Shirt,,Blonde,Short Coil,White
95912,,,,,,White Canvas Sneaker with White Sole,Navy Slacks,Khaki Oxford with Tie and Pocket,,Auburn,Updo Bun,White
95913,,,Black Books,,Two Rings,Redbrown Leather Workboot with Brown Sole,Navy Slacks,Navy Oxford with Tie,,Light Grey,Short Messy,White
95914,,,,,Two Rings,Brown Leather Shoes with Laces,Charcoal Slacks,Navy Oxford with Buttons,Mustache,Dark Brown,Short Coil,White
95915,Brown Leather Briefcase,,,,,Redbrown Leather Workboot with Brown Sole,Navy Slacks,Olive Cardigan with Off-White Longsleeve Shirt,,Black,Short Pixie,White
95916,,,Silver Aviators,,,Brown Leather Shoes with Laces,Charcoal Slacks,Olive Oxford with Buttons,,Light Brown,Low Ponytail,White
95917,,,Rosegold Aviators,,,Black Suede Chelseas with Brown Sole,Charcoal Slacks,Charcoal Blazer with Light Blue Shirt and No Tie,,Black,Short Coil,White
95918,Black Leather Briefcase,,,,,Brown Leather Shoes with Laces,Charcoal Slacks,Light Gray Cardigan with Light Gray Longsleeve Shirt,,Light Brown,Medium Curly Bob,White
95919,Brown Leather Briefcase,,,Tan Worker's Cap,,White Leather Sneaker with Grey Sole,Gray Slacks,Gray Oxford with Buttons,,Dark Brown,,White
95920,Lunchbox,Stud Earring,,,,White Canvas Sneaker with White Sole,Khaki Slacks,Blue Longsleeve,,Black,Short Afro Fade,White
95921,,,Silver Aviators,,,Brown Leather Shoes with Laces,Dark-Wash Denim,Khaki Oxford with Tie,,Blonde,Buzz Cut,White
95922,,,,Tan Worker's Cap,Ring One Blue,Tan Suede Workboot with Tan Sole,Light-Wash Denim,Olive Oxford with Tie,Beard,Auburn,Buzz Cut,White
95923,Brown Leather Briefcase,,Black Books,,,Brown Leather Shoes with Laces,Light-Wash Denim,Tan Blazer with Off-White Shirt and No Tie,,Black,Straight Sideswept Fringe,White
95924,,,,,,Black Suede Chelseas with Brown Sole,Khaki,Gray Blazer with Black Shirt and No Tie,,Light Brown,Updo Bun,White
95925,Black Smartphone,Stud Earring,,,,Black Suede Chelseas with Brown Sole,Gray Slacks,Navy Blazer with Striped Shirt and No Tie,Goatee,Dark Brown,Low Ponytail,White
95926,Black Smartphone,,,,Two Rings,Black Suede Chelseas with Brown Sole,Gray Slacks,Olive Oxford with Pocket,,Black,Straight Sideswept Fringe,White
95927,,,Black Books,,Two Rings,Brown Leather Shoes with Laces,Navy Slacks,Tan Blazer with Off-White Shirt and No Tie,,Blonde,Long Messy,White
95928,,,Rosegold Aviators,,,Redbrown Leather Workboot with Brown Sole,Gray Slacks,Light Gray Cardigan with Beige Longsleeve Shirt,Stubble,Auburn,Medium Curly Bob,White
95929,Black Leather Briefcase,Stud Earring,Silver Aviators,,,Black Leather Shoes with Laces,Charcoal Slacks,Navy Oxford with Pocket,,Black,Straight Sideswept Fringe,White
95930,Lunchbox,,,,Two Rings,Redbrown Leather Workboot with Brown Sole,Charcoal Slacks,Charcoal Blazer with Light Blue Shirt and No Tie,,Dark Brown,Long Messy,White
95931,Brown Leather Briefcase,,,Navy Blue Worker's Cap,Two Rings,Redbrown Leather Workboot with Brown Sole,Dark-Wash Denim,Gray Oxford with Pocket,,Black,Buzz Cut,White
95932,Blue Lunchbox,,Black Books,,,White Leather Sneaker with Grey Sole,Navy Slacks,Gray Oxford with Pocket,,Light Brown,Low Ponytail,White
95933,Brown Leather Briefcase,,,Tan Worker's Cap,,White Leather Sneaker with Grey Sole,Charcoal Slacks,Navy Blazer with Striped Shirt and No Tie,Stubble,Dark Brown,Buzz Cut,White
95934,Brown Leather Briefcase,,,,,Brown Leather Shoes with Laces,Navy Slacks,Navy Blazer with Striped Shirt and No Tie,,Black,Medium Curly Bob,White
95935,Black Smartphone,,Silver Aviators,,,Brown Leather Shoes with Laces,Dark-Wash Denim,Dark Gray Longsleeve,,Light Brown,,White
95936,,,,,,Black Leather Shoes with Laces,Charcoal Slacks,Olive Cardigan with Tan Oxford Shirt,,Black,Long Messy,White
95937,Blue Lunchbox,,Black Books,,Two Rings,White Canvas Sneaker with White Sole,Navy Slacks,Blue Longsleeve,,Light Grey,Short Afro Fade,White
95938,,,Black Books,,,Tan Suede Workboot with Tan Sole,Navy Slacks,Light Gray Cardigan with Tan Oxford Shirt,,Blonde,Short Afro Fade,White
95939,Brown Leather Briefcase,,,,,Black Leather Shoes with Laces,Dark-Wash Denim,Dark Gray Longsleeve,,Light Brown,Long Messy,White
95940,Black Leather Briefcase,,,,,Brown Leather Shoes with Laces,Charcoal Slacks,Charcoal Blazer with Light Blue Shirt and No Tie,,Light Grey,Updo Bun,White
95941,Black Smartphone,,Black Books,,,Brown Leather Shoes with Laces,Gray Slacks,Navy Blazer with Striped Shirt and Navy Tie,,Black,Short Coil,White
95942,Lunchbox,,,,,White Canvas Sneaker with White Sole,Charcoal Slacks,Gray Blazer with Black Shirt and No Tie,,Black,Short Afro Fade,White
95943,Black Smartphone,,,,Two Rings,Brown Leather Shoes with Laces,Charcoal Slacks,Gray Blazer with Black Shirt and No Tie,,Light Grey,Long Straight Bangs,White
95944,Brown Leather Briefcase,,Black Books,,,White Leather Sneaker with Grey Sole,Charcoal Slacks,Dark Gray Cardigan with Off-White Longsleeve Shirt,,Dark Brown,Straight Sideswept Fringe,White
95945,Brown Leather Briefcase,,Black Books,Purple Worker's Cap,,Brown Leather Shoes with Laces,Charcoal Slacks,Light Gray Longsleeve,,Black,Buzz Cut,White
95946,Brown Leather Briefcase,,Black Books,,,Redbrown Leather Workboot with Brown Sole,Blue Denim,Light Gray Longsleeve,Mustache,Light Brown,Short Coil,White
95947,Lunchbox,,,Tan Worker's Cap,,Black Suede Chelseas with Brown Sole,Light-Wash Denim,Khaki Oxford with Tie,,Light Brown,Buzz Cut,White
95948,Brown Leather Briefcase,,,,,Brown Leather Shoes with Laces,Light-Wash Denim,Gray Blazer with Black Shirt and Gray Tie,,Light Brown,Short Updo,White
95949,Black Leather Briefcase,,,,,Black Suede Chelseas with Brown Sole,Charcoal Slacks,Dark Gray Cardigan with Off-White Longsleeve Shirt,,Light Grey,Short Messy,White
95950,Brown Leather Briefcase,,,,,Tan Suede Workboot with Tan Sole,Navy Slacks,Charcoal Blazer with Light Blue Shirt and No Tie,,Blonde,Straight Sideswept Fringe,White
95951,Black Leather Briefcase,,Silver Aviators,,,Black Leather Shoes with Laces,Charcoal Slacks,Gray Oxford with Buttons,Goatee,Black,Low Ponytail,White
95952,Lunchbox,,,,,White Canvas Sneaker with White Sole,Navy Slacks,Khaki Oxford with Tie,,Auburn,Long Messy,White
95953,,,Black Books,,,Tan Suede Workboot with Tan Sole,,Navy Jumpsuit,,Black,Short Coil,White
95954,,,Silver Aviators,,,Black Leather Shoes with Laces,Khaki Slacks,Red Longsleeve,Stubble,Black,,White
95955,Black Smartphone,,,,,Black Leather Shoes with Laces,Khaki Slacks,Olive Oxford with Tie and Pocket,,Auburn,Short Afro Fade,White
95956,,,,Purple Worker's Cap,,Black Leather Shoes with Laces,Charcoal Slacks,Olive Oxford with Tie,,Black,,White
95957,Blue Lunchbox,,Black Books,,,White Canvas Sneaker with White Sole,Khaki,Gray Blazer with Black Shirt and No Tie,,Black,Short Pixie,White
95958,Black Leather Briefcase,,Black Books,,Two Rings,White Canvas Sneaker with White Sole,Navy Slacks,Khaki Oxford with Pocket,,Blonde,Short Coil,White
95959,,,Black Books,,,Brown Leather Shoes with Laces,Charcoal Slacks,Khaki Oxford with Buttons,,Light Grey,Straight Sideswept Fringe,White
95960,Black Smartphone,,,,,Tan Suede Workboot with Tan Sole,Light-Wash Denim,Khaki Oxford with Pocket,Stubble,Blonde,Short Messy,White
95961,Brown Leather Briefcase,,,,,Brown Leather Shoes with Laces,Khaki,Gray Oxford with Buttons,,Black,Short Coil,White
95962,,,Black Books,,Two Rings,Black Suede Chelseas with Brown Sole,Navy Slacks,Olive Cardigan with Tan Oxford Shirt,,Black,Updo Bun,White
95963,,,Black Books,,,Black Leather Shoes with Laces,Khaki Slacks,Gray Oxford with Tie,Goatee,Blonde,Short Coil,White
95964,Black Smartphone,,,Tan Worker's Cap,,Brown Leather Shoes with Laces,Navy Slacks,Tan Blazer with Off-White Shirt and Tan Tie,Goatee,Light Brown,,White
95965,Brown Leather Briefcase,,,Navy Blue Worker's Cap,,Brown Leather Shoes with Laces,Navy Slacks,Navy Oxford with Pocket,Stubble,Black,,White
95966,Lunchbox,Stud Earring,,,Two Rings,Tan Suede Workboot with Tan Sole,Navy Slacks,Olive Oxford with Buttons,Stubble,Blonde,Straight Sideswept Fringe,White
